Nest,Species,NumTreelt1in,NumTree1to3in,NumTree3to6in,NumTree6to9in,NumTree9to15in,NumTreegt15in,NumSnags,NumDownSnags,PctShrubCover,NumConifer,StandType
0,Non-nest,27,3,9,20,18,4,1,3,0,1,0
0,Non-nest,164,13,14,13,29,3,3,4,0.4,0,1
0,Non-nest,0,10,19,26,11,4,5,4,0,0,1
0,Non-nest,139,22,19,7,11,6,3,11,0.1,0,1
0,Non-nest,0,1,48,13,5,0,7,13,0.1,16,0
0,Non-nest,156,59,26,25,9,0,2,3,0.2,0,1
0,Non-nest,0,94,18,0,0,0,0,2,0,0,1
0,Non-nest,9,208,3,0,0,0,0,0,0.2,0,1
0,Non-nest,4,321,16,0,0,0,0,2,0,1,0
0,Non-nest,25,107,15,0,0,0,90,34,0,0,1
1,Flicker,114,0,0,2,10,0,4,2,0.3,0,1
1,Flicker,113,158,16,14,14,0,17,18,0,1,0
1,Flicker,121,113,28,19,17,0,20,14,0,0,1
1,Flicker,0,0,0,5,0,0,1,10,0,0,1
1,Chickadee,3,14,16,22,4,0,2,12,0.7,8,0
1,Chickadee,24,49,3,8,8,4,4,29,0,0,1
1,Chickadee,40,9,6,9,2,0,17,27,0,5,0
1,Chickadee,193,3,1,7,39,9,4,8,0.1,1,0
1,Sapsucker,27,95,0,14,8,1,0,2,0.1,0,1
1,Sapsucker,0,18,14,4,0,5,2,0,0,2,0
1,Sapsucker,3,38,9,17,2,0,1,8,0,3,0
1,Sapsucker,35,84,0,9,5,4,3,0,0.1,0,1
0,Non-nest,25,38,18,4,1,1,12,17,0,0,1
0,Non-nest,50,27,75,10,0,0,1,5,0,4,0
0,Non-nest,6,0,50,18,2,0,6,27,0,1,0
0,Non-nest,6,9,45,6,0,0,5,8,0,8,0
0,Non-nest,42,16,15,16,2,0,0,0,0.1,0,1
0,Non-nest,0,18,16,4,1,0,1,0,0.2,3,0
0,Non-nest,1,3,1,3,1,0,1,6,0.2,8,0
0,Non-nest,103,89,24,13,16,0,5,24,0.2,0,1
0,Non-nest,34,49,25,18,5,0,3,5,0.3,4,0
0,Non-nest,85,48,13,12,29,5,7,8,0,0,1
1,Flicker,0,3,4,0,2,0,1,1,0.2,0,1
1,Flicker,22,20,3,2,2,0,2,13,0.1,2,0
1,Flicker,11,11,14,7,9,0,2,8,0,16,0
1,Flicker,1,5,6,20,9,0,6,9,0.6,7,0
1,Flicker,94,6,7,24,2,0,4,11,0,0,1
1,Flicker,27,95,0,14,8,1,0,2,0.1,0,1
1,Chickadee,16,13,21,23,16,0,8,8,0,67,0
1,Chickadee,4,26,16,2,17,1,2,9,0,31,0
1,Chickadee,9,87,7,2,7,2,2,7,0.1,3,0
1,Sapsucker,28,11,8,17,19,1,5,4,0,16,0
1,Sapsucker,0,2,11,7,16,1,5,9,0.1,4,0
1,Sapsucker,49,60,4,8,9,2,1,11,0.1,0,1
0,Non-nest,13,107,21,10,0,1,10,16,0.1,0,1
0,Non-nest,4,9,71,5,0,0,4,4,0.1,0,1
0,Non-nest,24,29,15,14,9,4,0,7,0,3,0
0,Non-nest,6,2,74,15,0,0,4,10,0.2,24,0
0,Non-nest,2,1,11,26,31,0,1,2,0.5,0,1
0,Non-nest,62,18,39,12,0,0,1,2,0,8,0
0,Non-nest,33,314,28,0,0,0,0,7,0.1,5,0
1,Flicker,12,95,20,4,10,3,3,18,0,0,1
1,Chickadee,39,14,13,11,2,0,6,3,0.1,14,0
1,Chickadee,5,4,9,10,25,2,7,10,0,2,0
1,Chickadee,64,5,60,5,0,0,6,1,0,17,0
1,Chickadee,18,35,1,4,21,0,1,12,0,9,0
1,Chickadee,24,23,27,11,7,4,9,21,0,9,0
1,Chickadee,15,19,29,15,1,0,4,17,0,13,0
1,Chickadee,17,1,4,16,18,2,3,9,0.1,2,0
1,Sapsucker,29,3,16,18,3,0,0,5,0,7,0
1,Sapsucker,7,4,10,16,10,0,9,7,0.9,3,0
1,Sapsucker,13,16,10,18,12,0,5,9,0,0,1
1,Sapsucker,0,0,10,16,1,0,4,5,0.2,0,1
1,Sapsucker,65,89,0,5,10,1,5,7,0,2,0
1,Sapsucker,72,32,10,10,20,2,8,35,0,4,0
1,Sapsucker,15,6,2,16,18,1,7,10,0.6,11,0
0,Non-nest,17,26,84,5,2,0,3,9,0.1,17,0
0,Non-nest,245,28,13,22,24,5,21,20,0.1,0,1
0,Non-nest,392,3,4,19,19,1,1,5,0,0,1
0,Non-nest,10,7,59,8,1,0,4,3,0,8,0
0,Non-nest,52,5,52,36,10,0,7,5,0.3,0,1
0,Non-nest,3,3,11,25,0,0,1,1,0.1,1,0
0,Non-nest,4,6,12,12,18,0,6,5,0,0,1
0,Non-nest,67,42,57,18,0,0,6,12,0,0,1
0,Non-nest,9,296,8,0,0,0,126,127,0,0,1
0,Non-nest,10,265,9,0,0,0,123,74,0,0,1
0,Non-nest,30,440,15,0,0,0,0,1,0.1,0,1
1,Flicker,20,24,4,14,4,2,6,10,0.1,0,1
1,Flicker,15,6,2,16,18,1,7,10,0.6,11,0
1,Chickadee,20,3,13,22,10,3,7,29,0,3,0
1,Chickadee,6,2,6,12,3,0,5,8,0,18,0
1,Sapsucker,7,23,3,3,5,11,7,27,0,0,1
1,Sapsucker,10,8,5,8,11,5,7,20,0,2,0
1,Sapsucker,1,2,4,0,0,0,1,11,0.5,6,1
1,Sapsucker,5,5,15,21,27,0,15,10,0.4,7,0
1,Sapsucker,27,2,6,13,6,0,6,16,0,1,0
1,Sapsucker,31,17,22,17,10,0,2,12,0,0,1
0,Non-nest,3,5,58,9,0,0,2,4,0.2,6,0
0,Non-nest,9,6,65,18,0,0,5,14,0,8,0
0,Non-nest,26,2,35,18,2,0,2,2,0.1,0,1
0,Non-nest,4,10,85,5,0,0,8,6,0.2,2,0
